name,uri,genres,artist,mood,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
Driftin',01giRrGkgCCMMmtaFyf110,[],Mensing,calm,0 days 00:01:31.200000,0.508,0.778,0.406,0.864,0.0898,-11.962,0.329,150.059,0.225,4
ninfa,7iMFgDYIWxYEwCNIs4bLkN,['alternative metal'],evän,calm,0 days 00:01:15.998000,0.94,0.617,0.493,0.854,0.116,-6.569,0.043,75.691,0.369,3
Springdays,1nXgAA5bDL2i68D0TrwAf9,"['chillhop', 'focus beats', 'lo-fi beats', 'lo-fi jazzhop']",Phlocalyst,calm,0 days 00:02:02.593000,0.158,0.694,0.617,0.876,0.22,-7.834,0.0324,97.991,0.4,4
Red Piano,11hpBud9KRFqyYAcgYT03Z,['lo-fi jazzhop'],halfpastseven,calm,0 days 00:01:32.500000,0.00651,0.61,0.663,0.692,0.695,-10.334,0.0672,94.938,0.537,4
Fetch,4tA9KtIJ5R7ondn3ViHpfC,[],Cardamom,calm,0 days 00:01:55.098000,0.919,0.385,0.482,0.921,0.101,-12.489,0.311,204.078,0.272,4
Windows,2uoeJVAbt8T7ll0DwuWJUP,['turkish hip hop'],Siirbaz,calm,0 days 00:01:10.259000,0.138,0.804,0.457,0.824,0.0858,-11.84,0.0627,164.109,0.937,4
Self & Other,66ptSITrmXS1wjLgzht7tx,[],Iguilty,calm,0 days 00:02:10.244000,0.133,0.548,0.492,0.749,0.0866,-10.827,0.0302,82.118,0.172,4
Sidewall,4l7jeahYuBbxTlc9L6G7nY,['lo-fi beats'],Praizee,calm,0 days 00:02:12,0.4,0.851,0.171,0.749,0.111,-9.565,0.162,80.064,0.512,4
Timing,4hcWT6BGdFQP4sBl9V1Hom,"['chillhop', 'lo-fi beats']",BluntOne,calm,0 days 00:02:03.452000,0.691,0.636,0.241,0.793,0.216,-9.551,0.0564,75.959,0.256,4
Sound Latino,3nEA7Q1FLJTfCrBjIlwory,[],Dj 113,calm,0 days 00:02:04.257000,0.479,0.855,0.365,0.755,0.102,-9.35,0.155,85.028,0.575,4
Dearest Alfred (MyJoy),6vzaMfWEWYJtfnoKlCY5xP,['neo-psychedelic'],Khruangbin,calm,0 days 00:03:15.604000,0.802,0.412,0.273,0.9,0.109,-19.519,0.374,82.581,0.661,4
All the Feels,6KKu7Lfc3BFeL7Jsu7NGAI,['lo-fi beats'],"Sarah, the Illstrumentalist",calm,0 days 00:02:13.250000,0.0684,0.804,0.722,0.469,0.246,-6.594,0.0433,89.965,0.598,4
Uno Es Mínimo Dos,0c5kOuAnDXGtWkEkaHXRrW,['organic house'],Jiony,calm,0 days 00:02:40.576000,0.953,0.553,0.209,0.954,0.104,-17.105,0.0364,131.776,0.115,4
Sky High,5MZhfQfSV9eFyjvA5iMHw6,['lo-fi jazzhop'],Otis Neon,calm,0 days 00:02:13,0.198,0.551,0.526,0.000402,0.122,-9.558,0.04,84.947,0.365,4
Hallways,3qamws7BSVySFUCcssQ1Th,[],Kupla,calm,0 days 00:02:11.537000,0.781,0.753,0.471,0.89,0.243,-12.015,0.51,79.996,0.575,4
Stuck,7p4PfzeVQpF0g0EnNuc7HT,[],Deeb,calm,0 days 00:02:14.831000,0.695,0.614,0.279,0.808,0.0991,-14.6,0.046,88.968,0.498,4
Gust Of Feels,6835pqXoKeYr57r1zjp4rA,[],Reggie Lume,calm,0 days 00:01:20,0.978,0.782,0.336,0.0677,0.116,-17.41,0.814,78.033,0.663,4
ashy keyboard,18rW4znR6LblkBDzKLKvD9,[],Robertson,calm,0 days 00:01:48,0.925,0.464,0.406,0.909,0.113,-7.077,0.103,149.921,0.222,4
NoMo,7LGVoBWWRSnRQ155By7MTW,"['chillhop', 'lo-fi beats']",[ocean jams],calm,0 days 00:02:15.529000,0.0291,0.668,0.631,0.908,0.0958,-6.224,0.0909,170.07,0.231,4
Plant,2CW1y32fK1n1OL3W60OORY,['lo-fi beats'],Kasper Lindmark,calm,0 days 00:01:10.916000,0.758,0.561,0.213,0.89,0.106,-14.412,0.0455,87.989,0.123,4
Mountain View - FloFilz Remix,0feyvyYsywS5CrR8XEnUbM,"['alternative pop rock', 'pop']",B dom,calm,0 days 00:02:07,0.123,0.65,0.413,0.809,0.109,-10.515,0.0992,169.983,0.832,4
Page 20: I Feel in Exile...,5ILeItfsaRawFcpMh56xD7,[],Shungu,calm,0 days 00:02:21.176000,0.945,0.753,0.189,0.839,0.112,-14.082,0.359,84.987,0.66,4
fiveyearsago,6B4qtjK5dvi1dof1iGmHlG,"['chillhop', 'focus beats', 'lo-fi beats', 'lo-fi jazzhop']",Psalm Trees,calm,0 days 00:02:55.619000,0.0938,0.715,0.385,0.809,0.341,-8.719,0.0925,82.044,0.632,4
"Yeah, Right",3iq3aIY486nvbKbNFokrY2,['swedish indie pop'],The Legends,calm,0 days 00:01:54,0.829,0.823,0.43,0.96,0.125,-10.613,0.0612,168.009,0.762,4
Early Bird,7EZkcQqobXfRZOjsnT8duc,['lo-fi brasileiro'],Pelicano,calm,0 days 00:02:03.243000,0.975,0.628,0.226,0.868,0.291,-15.684,0.0324,148.052,0.243,4
Careful,21JzIbHNQOpIrsLqve9M3X,['lo-fi jazzhop'],Zen Park,calm,0 days 00:02:07.256000,0.196,0.643,0.329,0.00053,0.187,-12.153,0.266,84.306,0.282,4
cafuné,4YrfnbrvPIhbxLWjXqvOsQ,['lo-fi beats'],UKDD,calm,0 days 00:02:03,0.838,0.742,0.445,0.936,0.11,-12.866,0.0989,160.06,0.613,4
Fig,6vVOUvrwZaidinRzrskIkT,['asian american hip hop'],Scarlett,calm,0 days 00:01:53.333000,0.676,0.736,0.475,0.854,0.433,-15.353,0.0497,111.993,0.295,4
At Peace,7fJ1v1CninD1DsfNVbs4HU,"['hip hop', 'pop', 'pop rap', 'rap']",soho,calm,0 days 00:02:00,0.963,0.809,0.304,0.898,0.108,-12.764,0.218,79.971,0.527,4
Endless,6CkDqbpSaKHUh7lvXxpioS,['chill out'],Goudo J,calm,0 days 00:02:05.203000,0.587,0.85,0.31,0.906,0.103,-7.152,0.115,140.038,0.677,4
The Writer,4L8JbzUItzpwaFX7IZlhtT,['lo-fi beats'],Smartface,calm,0 days 00:01:39.759000,0.881,0.865,0.338,0.83,0.368,-9.212,0.219,83.048,0.773,4
Cycle,5FBXnmgANQqBqrsgBGAeCF,"['latin', 'latin arena pop', 'latin pop', 'spanish pop']",Dosi,calm,0 days 00:03:00,0.735,0.765,0.143,0.8,0.0888,-15.858,0.0576,142.056,0.147,4
Cycles,0p1pu31OB2If9FaXog6n9W,['miami hip hop'],Lunchmoney,calm,0 days 00:02:12.152000,0.722,0.713,0.612,0.598,0.137,-7.739,0.195,79.013,0.464,4
cayenne,2w2rCYdC0WmoXLkysXcYzG,[],vibe academy,calm,0 days 00:01:45,0.659,0.742,0.474,0.945,0.573,-11.896,0.181,160.052,0.489,4
Yanagi,4rkZDZwmAKS16xvVt9dTf0,[],Daruma,calm,0 days 00:02:24,0.273,0.771,0.457,0.706,0.11,-9.74,0.0937,80.006,0.486,4
"Walk Slow,ly",0s7MNEfaW0Ra4EDt4G5oW0,['lo-fi beats'],Casiio,calm,0 days 00:01:45.393000,0.989,0.357,0.166,0.91,0.116,-17.455,0.0368,70.886,0.48,4
Flashlight,2jT4R7AMB7SrA4hXOkylYo,"['chillhop', 'jazz boom bap', 'lo-fi beats', 'lo-fi jazzhop']",Made in M,calm,0 days 00:01:42.162000,0.827,0.728,0.115,0.882,0.0875,-13.056,0.324,148.204,0.7,4
Lo-fi Mañana en CDMX,5eF9g9AQInIgZusji4Y6e8,[],Palmasur,calm,0 days 00:02:49.491000,0.849,0.727,0.278,0.412,0.235,-18.594,0.0458,90.631,0.668,4
Floppy Dreams,30p5Rs5j4hPPs9JmO6wHTc,['focus beats'],SP-Mato,calm,0 days 00:01:22.295000,0.676,0.703,0.477,0.245,0.13,-11.37,0.0401,140.068,0.428,4
Monkey Business,4Iet2sxhiKiwAsqq5sCqL7,['chill beats'],Manamera,calm,0 days 00:02:39.419000,0.117,0.621,0.352,0.822,0.111,-11.973,0.0637,135.548,0.273,3
Effervescent,4pPL6ISxDI4k40xj2vN9Zh,"['chillhop', 'lo-fi beats']",Toonorth,calm,0 days 00:02:17.143000,0.563,0.81,0.143,0.92,0.113,-11.052,0.137,167.921,0.442,4
Like A Bird,3OTcXmVsChQzflumr0BtK8,"['lo-fi beats', 'lo-fi jazzhop']",Platinum Dust,calm,0 days 00:02:13.291000,0.449,0.643,0.318,0.785,0.595,-11.364,0.253,79.095,0.591,4
Idle of Mud,0UO9de8BcAh1XvNkUBg7O1,[],Hollow Sol,calm,0 days 00:01:15.141000,0.943,0.691,0.413,0.969,0.101,-6.618,0.0884,82.073,0.915,3
Picea,1goVlikdWNJpouH8P62eUC,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",Hast,calm,0 days 00:03:32.167000,0.868,0.772,0.325,0.884,0.085,-8.221,0.147,86.008,0.373,4
bad habits,1EWzf6q0R4K0RKe6TaViqw,"['italian jazz fusion', 'lo-fi jazzhop']",Kuranes,calm,0 days 00:01:46.667000,0.871,0.391,0.117,0.412,0.111,-18.288,0.0528,81.143,0.358,4
Tarde en Píllaro,6cE2oNZL6nw49kEMY9Tb5A,[],Muerto A Puntapiés,calm,0 days 00:01:52.196000,0.476,0.717,0.108,0.127,0.0923,-21.876,0.0328,86.005,0.463,4
Teide,3LSRb1SzxO2p0QifomVpzo,"['chillhop', 'jazz boom bap', 'lo-fi beats', 'lo-fi jazzhop']",Made in M,calm,0 days 00:02:08.781000,0.644,0.639,0.188,0.243,0.147,-13.937,0.241,81.995,0.383,4
Crust,3KsS9NkC5ZlPAIWpGoL5Sx,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']",Flying Lotus,calm,0 days 00:02:13.520000,0.576,0.676,0.408,0.867,0.201,-7.937,0.0811,106.515,0.226,3
Window,7aAyGTu1BnlzcRhBSloiOK,"['compositional ambient', 'post-minimalism', 'soundtrack']",Murmur,calm,0 days 00:02:11.200000,0.945,0.516,0.185,0.945,0.111,-12.656,0.0406,112.481,0.174,3
Feng Shui,2ML0jzajePjIglKltU0rrp,"['alt z', 'indie cafe pop', 'indie poptimism', 'modern rock', 'pop']",Inf,calm,0 days 00:02:08.294000,0.295,0.823,0.488,0.531,0.0621,-9.302,0.232,88.005,0.137,4
Trippin,3ZlkH9iXwzuicNCfHkGi6p,['chill beats'],Manamera,calm,0 days 00:02:08.530000,0.711,0.8,0.235,0.833,0.147,-12.056,0.334,150.078,0.431,4
Lost Sight,6k5vU6ZpYLoH1eyMrTVmTH,"['abstract beats', 'chillhop', 'indie jazz', 'jazz boom bap', 'wonky']",Elaquent,calm,0 days 00:02:58.953000,0.557,0.583,0.634,0.901,0.149,-9.878,0.125,85.646,0.679,4
On Peets,5mlEqWvEuNHuIPPKtRxd3w,['lo-fi beats'],Sidual.,calm,0 days 00:01:58.279000,0.788,0.518,0.442,0.904,0.181,-9.441,0.251,81.987,0.521,4
Llamar La Atención,3ze6hcj856RzYZM6MrHWdc,['organic house'],Jiony,calm,0 days 00:02:21.813000,0.671,0.862,0.269,0.704,0.11,-13.162,0.252,154.044,0.252,4
Pico,2FbsTN9G2FaPR3VathE4Hr,"['chillhop', 'focus beats', 'jazz boom bap', 'lo-fi beats', 'lo-fi jazzhop']",Flughand,calm,0 days 00:01:36.227000,0.624,0.79,0.0984,0.784,0.117,-13.783,0.207,83.19,0.811,4
Survivors,1CNLGKbPPRdmGOgEuCioOR,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']",Flying Lotus,calm,0 days 00:01:17.133000,0.13,0.571,0.601,0.813,0.109,-7.802,0.0646,152.017,0.0369,4
While You Doooo,2y26A8ntk24DSH0cXe8zpB,"['bass music', 'chillwave', 'electronica', 'microhouse', 'wonky']",Teebs,calm,0 days 00:01:31.011000,0.268,0.829,0.9,0.689,0.131,-6.575,0.238,93.764,0.684,4
Cafe y Té,2DvU4WFADIqoGkvXgVQCqB,[],slider beats,calm,0 days 00:02:03.243000,0.789,0.719,0.198,0.812,0.374,-12.174,0.0811,147.992,0.587,4
Lowlands,1qVp6f89ewJz9Pid2MxBBH,[],Alina Hardin,calm,0 days 00:04:36.120000,0.973,0.421,0.192,0.000111,0.0948,-11.996,0.0315,140.963,0.256,4
Ghettos Worldwide,1RmlB5FlFYWQkP8BrveswR,"['chillhop', 'jazz boom bap', 'lo-fi beats', 'lo-fi jazzhop']",digitalluc,calm,0 days 00:02:53.128000,0.153,0.607,0.672,0.0533,0.289,-7.732,0.102,87.999,0.248,4
Autumn Antique,2g8ofV4Nb7t0STDmtQHUqn,"['bass music', 'chillwave', 'electronica', 'microhouse', 'wonky']",Teebs,calm,0 days 00:01:58.021000,0.00936,0.756,0.821,0.654,0.186,-8.838,0.106,88.845,0.384,4
You're Somebody Else,0pdKRp2sUthTPe7RLWpPqQ,"['indie pop', 'scandipop', 'swedish indie folk']",flora cash,calm,0 days 00:03:38.883000,0.841,0.713,0.452,0.0038,0.105,-9.638,0.0295,102.963,0.235,4
You're Somebody Else,0pdKRp2sUthTPe7RLWpPqQ,"['indie pop', 'scandipop', 'swedish indie folk']",flora cash,calm,0 days 00:03:38.883000,0.841,0.713,0.452,0.0038,0.105,-9.638,0.0295,102.963,0.235,4
Wicked Game - Acoustic,3Gb3RPg5FT3cCn0q1oizZp,['plunderphonics'],Boy & Bear,calm,0 days 00:04:12.253000,0.584,0.565,0.298,0.000246,0.118,-9.932,0.0263,110.247,0.192,4
exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,"['pop', 'post-teen pop']",Taylor Swift,calm,0 days 00:04:45.634000,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,0.152,4
exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,"['pop', 'post-teen pop']",Taylor Swift,calm,0 days 00:04:45.634000,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,0.152,4
Calico,7EWwiyBXMaLzoSXwWZkYyU,"['edm', 'pop', 'pop dance', 'tropical house']",Haux,calm,0 days 00:03:51,0.929,0.353,0.239,0.589,0.0681,-16.256,0.036,106.79,0.299,3
The Worst Of You,06rX4GEEjsVTSbRBWycs2U,[],PJ Harding,calm,0 days 00:03:29.813000,0.791,0.555,0.35,6.64e-06,0.11,-10.955,0.0503,77.772,0.404,4
Friday I’m In Love - Recorded at Spotify Studios NYC,07vS8obfeZbr8H4MgQfXR7,"['indie pop', 'indie rock', 'la indie', 'pop']",Phoebe Bridgers,calm,0 days 00:03:40.813000,0.948,0.373,0.123,0.0,0.0816,-15.193,0.0407,97.129,0.138,4
Take Me Home (feat. Nadia Reid),4DNyKoJBdTpLnA3ryWL7Qh,"['australian indie folk', 'indie folk', 'stomp and holler']",The Paper Kites,calm,0 days 00:04:54.063000,0.924,0.3,0.184,0.0318,0.113,-17.753,0.0364,154.241,0.23,4
Down,6wpdCYRRzFtBT7HzdEqgK9,"['indie anthem-folk', 'indie cafe pop', 'uk pop']",Jack Curley,calm,0 days 00:03:04.985000,0.691,0.64,0.442,0.0,0.0883,-9.025,0.0501,80.013,0.277,4
Wolves,59hfgU3tsQ0zKpSX7toiwn,['australian pop'],Azure Ryder,calm,0 days 00:02:43.821000,0.88,0.584,0.214,2.52e-05,0.103,-9.323,0.0418,95.822,0.41,4
Evermore,0ZSLQqw4B8NnCOLSqjpT80,['indie folk'],Hollow Coves,calm,0 days 00:03:43.847000,0.592,0.409,0.482,0.00448,0.078,-9.917,0.0269,78.987,0.335,4
re: Stacks - Spotify Singles,6X6fJzF0BGbUk6mhqNvgZZ,"['alt z', 'dance pop', 'pop', 'post-teen pop']",Noah Cyrus,calm,0 days 00:05:09.360000,0.837,0.561,0.299,0.000143,0.357,-11.392,0.0315,123.92,0.107,4
IDK You Yet,47EWMOElkkbMp5m9SBkx7d,"['alt z', 'electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",Alexander 23,calm,0 days 00:03:04.638000,0.884,0.629,0.306,0.0776,0.124,-11.735,0.0424,76.994,0.191,1
IDK You Yet,47EWMOElkkbMp5m9SBkx7d,"['alt z', 'electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",Alexander 23,calm,0 days 00:03:04.638000,0.884,0.629,0.306,0.0776,0.124,-11.735,0.0424,76.994,0.191,1
dark until september.,7n5LJO27QLW54MmCU8ok2e,[],will hyde,calm,0 days 00:03:27.680000,0.639,0.754,0.448,7.03e-05,0.315,-9.52,0.0385,120.115,0.191,4
Heroes,6BSnTXlsNB6I7x9WSJi9y6,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",Vera Blue,calm,0 days 00:03:28.448000,0.869,0.36,0.23,0.0,0.104,-6.947,0.0335,122.071,0.286,4
Okay,25NjUjptKOeu1k6O4YdyUm,[],Tulliah,calm,0 days 00:04:13.373000,0.844,0.241,0.269,0.0,0.101,-9.865,0.0302,93.361,0.284,1
Soul Mate,2xo3D4eKXs19ISgTcICbua,"['indie pop', 'scandipop', 'swedish indie folk']",flora cash,calm,0 days 00:03:57.781000,0.768,0.429,0.371,0.00181,0.119,-11.803,0.0351,129.842,0.305,4
Homecoming Queen,28grzRrS5csyaI4uK98IX0,"['australian indie', 'australian indigenous', 'australian pop']",Thelma Plum,calm,0 days 00:03:51.667000,0.689,0.469,0.425,0.000324,0.0697,-6.879,0.037,191.536,0.156,3
I Don't Need Anything But My Love,0CHud82a2uwfmsBAitedCZ,"['contemporary country', 'country', 'country road', 'modern country rock']",Tom Young,calm,0 days 00:02:54,0.884,0.459,0.179,8.78e-05,0.226,-13.664,0.0343,79.964,0.229,1
Low,7dCzzPIL8xvR0NPYp1secc,['australian indie folk'],Alexander Biggs,calm,0 days 00:02:49.827000,0.337,0.693,0.523,0.038,0.359,-9.552,0.034,84.988,0.446,3
For All You Give (feat. Lucy Rose),0vL6Dt7L7k9srca6XxtjBM,"['australian indie folk', 'indie folk', 'stomp and holler']",The Paper Kites,calm,0 days 00:03:11.235000,0.956,0.498,0.142,0.00275,0.109,-17.141,0.0385,138.84,0.353,4
It's Easier When You're Standing There,07aBRXxWCJDgCcwJvd2VLy,"['australian pop', 'indie anthem-folk', 'indie folk']",Garrett Kato,calm,0 days 00:03:47.078000,0.823,0.407,0.311,0.00351,0.136,-12.197,0.0284,80.314,0.265,4
evermore (feat. Bon Iver),3O5osWf1rSoKMwe6E9ZaXP,"['pop', 'post-teen pop']",Taylor Swift,calm,0 days 00:05:04.107000,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,5
The Night We Met (feat. Phoebe Bridgers),0jZO7p0nBUi9VHedWUBS9l,"['indie folk', 'indie pop', 'stomp and holler']",Lord Huron,calm,0 days 00:03:28.173000,0.962,0.424,0.437,0.336,0.664,-8.588,0.0355,174.127,0.131,3
Latchkey,1pQ9MWG0yUS51uU0pJfBZL,[],Memorial,calm,0 days 00:02:51.560000,0.908,0.57,0.33,9.04e-05,0.121,-12.915,0.0296,155.809,0.637,4
Karaoke,5e6sklOXEsNqSrEPDR1T3Z,"['brisbane indie', 'indie anthem-folk']",Hazlett,calm,0 days 00:03:20,0.572,0.544,0.467,0.00074,0.0819,-10.583,0.0414,96.187,0.264,4
Two Strong Hearts,31Y9yVkcT70JjKs3A2eR36,['melbourne indie'],Ainslie Wills,calm,0 days 00:03:06.635000,0.96,0.566,0.158,1.05e-05,0.104,-11.211,0.0312,97.51,0.292,4
With You,0Bq1REhXXSEvKwH91K3nWc,"['indie anthem-folk', 'indie cafe pop', 'indie folk', 'indiecoustica']",Harrison Storm,calm,0 days 00:03:36.596000,0.858,0.533,0.367,0.00803,0.0836,-11.208,0.0521,73.946,0.29,4
Breathe It In,4ldpTCx47OfKJSoz1Y8pef,"['australian pop', 'indie anthem-folk', 'indie folk']",Garrett Kato,calm,0 days 00:03:15.680000,0.628,0.579,0.573,0.0,0.126,-10.018,0.0451,144.097,0.368,4
"always, i'll care",1LdS1ULS9e18oW3M2C1MUj,"['electropop', 'pop', 'post-teen pop']",Jeremy Zucker,calm,0 days 00:02:26.147000,0.918,0.784,0.278,0.000196,0.112,-10.745,0.041,105.034,0.741,4
Talk To Me,0SfMScKuKDOtDl9VNm64nv,['chill pop'],Lilly Carron,calm,0 days 00:02:50.224000,0.648,0.33,0.338,0.0,0.36,-7.778,0.0289,134.173,0.0919,3
Last Line,531Ja3DY2r2Auhk10OseCM,"['australian indie', 'indie anthem-folk', 'indie folk']",Dustin Tebbutt,calm,0 days 00:04:52.296000,0.83,0.447,0.34,0.0184,0.109,-12.344,0.0298,87.87,0.262,4
You Don't Lie,6xN2yS7wTE2e96QhzdcE3m,"['modern blues', 'soul']",BEXY,calm,0 days 00:03:41.217000,0.776,0.507,0.0977,1.34e-05,0.121,-17.933,0.0346,114.309,0.174,4
Carry You,6csk7RGrFhxbi6hPwQImPf,['australian americana'],The Teskey Brothers,calm,0 days 00:04:32.640000,0.487,0.462,0.448,2.51e-05,0.133,-6.093,0.0268,163.218,0.446,3
Garden Song,1LTWcRVy9o96Zzn29wXLsa,"['indie pop', 'indie rock', 'la indie', 'pop']",Phoebe Bridgers,calm,0 days 00:03:40.065000,0.868,0.371,0.256,0.00507,0.112,-16.7,0.227,195.674,0.171,4
Butterflies,3aufVGeeYQHSq5coMrYFEd,"['anthem worship', 'ccm', 'indiecoustica']",Aodhan,calm,0 days 00:02:55.356000,0.826,0.602,0.139,0.000155,0.116,-15.653,0.037,62.033,0.179,4
Tayrona (feat. Wilsen),2Sxt4EK2LAElVzvMl6POvI,"['downtempo', 'indie dream pop', 'indie soul', 'new french touch', 'vapor soul', 'vapor twitch']",Mt. Wolf,calm,0 days 00:03:19.635000,0.575,0.368,0.602,0.0548,0.0994,-7.076,0.0325,171.974,0.111,4
Mid Sentence,5z78SPUoa0zZcb1uWbwPMH,['australian pop'],Xavier Dunn,calm,0 days 00:03:04.342000,0.818,0.462,0.108,0.0,0.16,-14.654,0.0638,77.972,0.419,4
Laundromat,2o9DXPraX3X5Z1vZNAL1Q6,['australian indie folk'],Alexander Biggs,calm,0 days 00:03:51.299000,0.805,0.565,0.3,2.78e-05,0.144,-11.663,0.0323,139.939,0.377,4
Lady Blue,1Tqhq3ZF1FCoUiS10Cgxzt,"['australian indigenous', 'brisbane indie']",Emily Wurramara,calm,0 days 00:02:51.147000,0.847,0.706,0.282,0.0,0.0904,-10.548,0.0469,87.064,0.689,4
Pictures,3cKpZzvOX84w0SGxi4eCXA,"['icelandic folk', 'icelandic indie', 'icelandic pop', 'indie folk']",Ásgeir,calm,0 days 00:03:58.347000,0.862,0.534,0.348,0.00322,0.103,-11.901,0.0276,143.84,0.232,4
Lay By Me,4l6boTiX3Erh3HYpKOa0D6,"['indie cafe pop', 'norwegian pop', 'tropical house']",Ruben,calm,0 days 00:02:50.831000,0.873,0.461,0.195,0.0,0.11,-7.301,0.0352,110.193,0.381,4
Do You Love Me Lately?,03ZQhvP0UXQvUhGxlGqOSq,[],Emily Keener,calm,0 days 00:03:56.409000,0.866,0.605,0.205,0.000116,0.144,-15.486,0.0347,115.955,0.0889,4
Freedom Fighter,6UYf5YatAsTd1198EwnU6e,['australian indie'],#1 Dads,calm,0 days 00:04:30.627000,0.547,0.63,0.556,0.000751,0.0989,-7.206,0.0397,169.995,0.344,4
Flags,1CV6EB87upvFxfxJzFyL5T,"['indie cafe pop', 'pop']",SYML,calm,0 days 00:03:29.511000,0.479,0.592,0.401,3.42e-05,0.128,-12.386,0.0328,136.476,0.194,4
Light Years,6BXwjlZvAOh5B8yy1kbpwV,"['acoustic pop', 'indie folk', 'neo mellow']",William Fitzsimmons,calm,0 days 00:03:22.107000,0.962,0.532,0.146,0.206,0.115,-16.49,0.0346,134.891,0.23,4
Thousand (feat. Lisa Hannigan),12VVXFEYxro5C61KyWee9C,"['indie folk', 'irish singer-songwriter', 'new americana']",Rosie Carney,calm,0 days 00:03:26.440000,0.943,0.676,0.198,0.0132,0.104,-13.91,0.0333,118.004,0.125,4
Wading In Waist-High Water,1u8PeiYinEIxqWGXcxSgrI,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",Fleet Foxes,calm,0 days 00:02:15.013000,0.908,0.392,0.102,0.013,0.111,-15.273,0.0308,128.253,0.118,4
Monsters,3PEFIZR2rbENyadO5n690Z,"['brisbane indie', 'indie anthem-folk']",Hazlett,calm,0 days 00:04:36.196000,0.358,0.616,0.482,2.24e-05,0.0794,-10.257,0.0345,120.023,0.138,4
Candy Eyes,3wsFy2qbDtWRuAqzfu86hd,['lo-fi beats'],HOKO,calm,0 days 00:02:50.600000,0.867,0.319,0.337,7.95e-05,0.103,-11.85,0.0301,50.92,0.0746,4
Madeleine,7CTVIpoQqwCki0Lprz0ez6,['australian indie folk'],Alexander Biggs,calm,0 days 00:03:00,0.664,0.642,0.332,8.28e-05,0.0847,-11.23,0.0348,130.153,0.325,4
Walk Above the City (feat. Maro),3GbfeAIMz63lXalcGO4FFi,"['australian indie folk', 'indie folk', 'stomp and holler']",The Paper Kites,calm,0 days 00:04:00.171000,0.864,0.683,0.246,0.527,0.109,-17.599,0.0271,99.016,0.291,4
Paint,4vXlDcmTeOtibVCX8X5DjJ,[],Lawson Hull,calm,0 days 00:04:41.333000,0.333,0.646,0.52,0.293,0.109,-8.709,0.0317,110.976,0.301,4
Sorry I'm Gone (feat. Emily Reid),5n7qpik8TgQGGNYBsAktkr,"['australian indie folk', 'australian pop', 'indie anthem-folk']",Kyle Lionhart,calm,0 days 00:03:47.413000,0.709,0.574,0.326,9.96e-05,0.111,-11.284,0.0301,147.921,0.563,4
Far Too Good,1WUHeOPayLKPMG35uBJVUj,"['british singer-songwriter', 'indie folk', 'liverpool indie', 'new americana']",John Smith,calm,0 days 00:03:39.333000,0.83,0.825,0.324,9.49e-05,0.115,-11.399,0.032,97.019,0.553,4
captain's dance with the devil,5S7rqoAt14NRdZxfVNFtNf,"['australian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Cody Simpson,calm,0 days 00:02:26.160000,0.659,0.617,0.532,0.000262,0.109,-12.23,0.056,97.911,0.485,4
Stones,70FflLYjKkQ2J1AHlEu64C,['australian alternative pop'],Ok Moon,calm,0 days 00:03:27.375000,0.623,0.368,0.606,0.175,0.125,-10.748,0.0567,180.006,0.316,3
Brains [HOME DEMO],31SygSVth7nrtAeiMCETPH,['modern alternative pop'],deryk,calm,0 days 00:02:59.497000,0.917,0.532,0.154,2.16e-05,0.329,-12.897,0.0402,154.807,0.192,4
"oh, mexico",4YwGqn5HGXVAOEPauLc9MJ,"['electropop', 'pop', 'post-teen pop']",Jeremy Zucker,calm,0 days 00:03:04.453000,0.892,0.613,0.36,0.293,0.381,-12.49,0.062,77.983,0.445,4
White Water,3D2jsYmtwlnK4kQLXHPUb5,"['australian indie', 'indie anthem-folk', 'indie folk']",Dustin Tebbutt,calm,0 days 00:03:54,0.832,0.586,0.254,0.00846,0.105,-15.151,0.0339,108.008,0.0733,4
Wristwatch,7JOD18T9PdxSSOhuxPt1N6,"['chillhop', 'lo-fi beats']",Husky,calm,0 days 00:03:59.436000,0.356,0.508,0.44,0.829,0.103,-8.975,0.0429,169.489,0.416,4
